,slang_word_count,flavor_word_count,social_media_count,urgency_count,identity_count,excitement_count,avg_word_length,complex_word_ratio,cool_factor_count,distinctive_term_score,youth_appeal_score,total_images,flavor_to_slang_ratio,social_engagement_ratio
GeekVape,60.0,22.0,4.0,32.0,12.0,11.0,2.51,0.04,44.0,112.31,11.29,788,0.37,0.01
Vaporesso,8.0,24.0,7.0,6.0,1.0,13.0,2.65,0.15,21.0,111.92,3.78,597,3.0,0.01
NJOY,2.0,332.0,2.0,5.0,4.0,8.0,2.74,0.06,9.0,125.58,14.7,348,166.0,0.01
joyetech,8.0,0.0,5.0,2.0,0.0,4.0,2.32,0.04,4.0,20.73,1.84,139,0.0,0.04
Cloudnurdz,0.0,390.0,5.0,0.0,3.0,4.0,6.16,0.35,47.0,83.66,7.5,115,390000.0,0.04
IJoy,0.0,84.0,2.0,0.0,1.0,1.0,4.12,0.12,7.0,33.03,3.74,73,84000.0,0.03
becovape,12.0,59.0,0.0,0.0,5.0,8.0,2.32,0.09,23.0,14.18,1.83,70,4.92,0.0
SMOK,0.0,4.0,0.0,1.0,0.0,3.0,2.46,0.08,0.0,15.4,1.18,61,4000.0,0.0
INNOKIN,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,1.73,0.15,50,0.0,0.0
Sigelei,0.0,4.0,1.0,1.0,2.0,1.0,3.11,0.12,7.0,8.28,0.5,50,4000.0,0.02
UWELL,1.0,0.0,0.0,1.0,0.0,4.0,4.62,0.2,5.0,18.57,0.98,50,0.0,0.0
Dovpo,1.0,2.0,6.0,3.0,7.0,6.0,3.57,0.1,9.0,6.32,0.7,50,2.0,0.12
ElfBar,0.0,7.0,2.0,6.0,1.0,2.0,3.32,0.1,1.0,9.37,0.83,44,7000.0,0.05
Beardvape,2.0,19.0,0.0,0.0,0.0,0.0,3.85,0.08,0.0,16.04,1.6,27,9.5,0.0
Eleaf,0.0,0.0,0.0,0.0,0.0,0.0,4.29,0.17,0.0,12.79,0.91,22,0.0,0.0
LostMary,0.0,20.0,0.0,19.0,0.0,0.0,5.49,0.25,0.0,16.35,1.41,21,20000.0,0.0
Asphire_vape,0.0,0.0,1.0,3.0,7.0,2.0,3.71,0.1,5.0,5.52,0.43,19,0.0,0.05
LostVape,0.0,0.0,0.0,0.0,2.0,1.0,3.16,0.06,2.0,5.58,0.74,15,0.0,0.0
