brand,count,youth_appeal_score,reading_grade,flesch_score,avg_flavor_words,avg_slang_words,avg_all_caps,youth_reading_level_pct,contains_warning_pct
GeekVape,788.0,0.014,1.943,90.4,0.028,0.076,1.072,62.944,0.254
Vaporesso,597.0,0.006,4.405,71.158,0.04,0.013,1.323,45.729,0.168
NJOY,348.0,0.042,2.154,95.13,0.954,0.006,3.333,60.345,2.011
joyetech,139.0,0.013,0.63,100.108,0.0,0.058,1.216,68.345,2.158
Cloudnurdz,115.0,0.065,13.574,27.506,3.391,0.0,5.991,5.217,86.087
IJoy,73.0,0.051,2.49,89.042,1.151,0.0,2.466,72.603,2.74
becovape,70.0,0.026,2.495,90.099,0.843,0.171,1.571,64.286,1.429
SMOK,61.0,0.019,2.207,88.393,0.066,0.0,1.541,55.738,6.557
INNOKIN,50.0,0.003,-1.413,108.112,0.0,0.0,0.1,40.0,0.0
Sigelei,50.0,0.01,2.637,88.477,0.08,0.0,2.32,66.0,0.0
UWELL,50.0,0.02,5.496,73.803,0.0,0.02,5.36,60.0,36.0
Dovpo,50.0,0.014,3.289,84.162,0.04,0.02,1.82,74.0,0.0
